Secondary_Education,Graduate_Education,Households_with_Telephone_Mobile_Phone,Female_Workers,Having_bathing_facility_Total_Households,Other_Workers,Literate_Education,Households_with_Radio_Transistor,Higher_Education,Married_couples_None_Households,Other_Education,Main_Workers,Households_with_Computer,Household_size_3_persons_Households,Household_size_4_persons_Households,Housholds_with_Electric_Lighting,Main_source_of_drinking_water_Other_sources_Households,Household_size_3_to_5_persons_Households,Power_Parity_Rs_45000_150000,Location_of_drinking_water_source_Within_the_premises_Households,Female_Literate,Households_with_Telephone_Mobile_Phone_Mobile_only,Literate,Power_Parity_Rs_45000_90000,Cultivator_Workers,Households,Age_Group_50,Households_with_Television,Household_size_1_person_Households,Age_Group_0_29,Total_Education,Male_Literate,Non_Workers,Population,Having_latrine_facility_within_the_premises_Total_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Married_couples_2_Households,Female,Male,Households_with_separate_kitchen_Cooking_inside_house,Power_Parity_Rs_90000_150000,Household_size_1_to_2_persons,Hindus,Total_Power_Parity,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,LPG_or_PNG_Households,Primary_Education,Workers,Main_source_of_drinking_water_Tapwater_Households,Household_size_6_8_persons_Households,Male_Workers,Agricultural_Workers,Married_couples_1_Households,Rural_Households,Ownership_Owned_Households,Household_size_2_persons_Households,Household_size_5_persons_Households,Urban_Households,Households_with_Telephone_Mobile_Phone_Both,Middle_Education,Age_Group_30_49,Male_SC,Scheduled_Castes_SC,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Less_than_Rs_45000,Female_SC,Households_with_Car_Jeep_Van,Main_source_of_drinking_water_Tubewell_Borehole_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Household_Workers,Households_with_Internet,Location_of_drinking_water_source_Away_Households,Illiterate_Education,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Bicycle,Religion_Not_Stated,Ownership_Rented_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Below_Primary_Education,Marginal_Workers,Households_with_Scooter_Motorcycle_Moped,Married_couples_3_Households,Married_couples_3_or_more_Households,Type_of_latrine_facility_Pit_latrine_Households,Main_source_of_drinking_water_Un_covered_well_Households,Power_Parity_Rs_330000_545000,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Power_Parity_Rs_150000_330000,Female_ST,Power_Parity_Rs_425000_545000,Jains,Not_having_bathing_facility_within_the_premises_Total_Households,Scheduled_Tribes_ST,Condition_of_occupied_census_houses_Dilapidated_Households,Power_Parity_Rs_240000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_150000_240000,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Other_latrine_Households,Household_size_9_persons_and_above_Households,Age not stated,Muslims,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Others_Religions,Sikhs,Male_ST,Married_couples_5__Households,Married_couples_4_Households,Christians,Buddhists,Type_of_fuel_used_for_cooking_Any_other_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Crime
3217040,1866017,3743361,2109872,3891502,4645294,16593606,821525,2137786,467368,322513,7015283,622942,497375,1095789,4270297,91628,2622769,22640,3138890,6804921,3157367,16598988,10973,2480801,7088008,3909921,3203191,106587,15006789,23627813,9794067,16434954,25351462,3237942,210845,866482,11856728,13494734,4286736,11667,396915,22171128,56038,151256,1407940,2075925,3514393,8916508,3245527,1341181,6806636,1528133,3093557,4444365,4168621,290328,1029605,2643643,375149,3001803,6403218,2709656,5113615,1009796,2227,2403959,495654,610452,678097,262280,248076,569268,7034207,418399,2112462,42212,450538,32432,2534054,1901225,1572760,240204,290547,820477,108217,12778,144453,13922,0,7820,52613,826452,0,209759,5636,4958,8286,4461,38527,357089,31534,1781342,43789,1178294,2548,1243752,0,8990,41353,50353,7514,2986,1421,14418,Low
1166943,425328,1215027,1516049,1104877,1263603,5182234,378917,776104,236691,65479,2062501,123338,194043,371885,1428783,27653,857441,8316,820157,2287146,907586,5039736,4634,2062062,2933663,1300556,1098553,84146,3648872,6562162,2752590,3305180,6864602,1020523,109706,241876,3382729,3481873,1294827,3682,216097,6532765,16154,49941,437990,569556,1117178,3559422,1321458,335807,2043373,175038,944615,2612611,1287937,131951,291513,321052,197735,982486,1905011,876300,1729252,516385,1922,852952,122529,9591,108772,58719,41193,140039,1379928,61108,139577,8094,152194,3069,648716,1496921,229087,46164,53399,119972,19644,2278,25111,2080,196008,1358,1805,371704,392126,24226,758,920,1322,1564,3940,67236,10163,149881,7071,62688,856,79896,196118,1016,6219,12646,78659,325,10276,4941,Low
1457576,615858,1400207,1127623,1218471,2357106,7474689,950425,863950,199084,133919,2644149,168360,198788,370423,1715557,63256,976870,9945,970643,2802562,1194854,7067233,6865,1245316,3603632,1731253,1028155,32889,7725207,11596446,4264671,8218589,12541302,1031297,72820,271886,5900640,6640662,1781204,3080,144964,3566674,20686,337048,928610,635867,1526226,4322713,1288451,687624,3195090,547705,1481351,2663460,1949265,112075,407659,940172,132533,1771552,3069723,486232,924991,578386,3325,438759,150465,29439,161891,172586,57977,466059,4121757,76556,208108,20082,44083,64479,1105608,1678564,260306,52727,62767,110275,93703,2725,107171,3497,717042,1048,2490,796617,1493299,78314,1970,1677,1527,1193,256031,205630,15119,8567485,13337,258427,1508,234848,776257,1692,8348,35631,112584,3653,125070,135385,Low
2790642,1154047,2968491,4673505,1572427,4392228,20964863,1078620,1636646,668768,151720,6818595,426421,696857,1130381,2829867,46150,3032998,23002,1433182,7445550,2725805,18328069,14742,3814832,7796033,4528093,1657422,166160,20576647,32622547,10882519,19889860,32988134,1361867,122465,981419,16057819,16930315,5807476,8260,665169,22376051,38409,207421,4759333,720832,5937774,13098274,795637,1973088,8424769,4436052,4228517,5746528,5519412,499009,1205760,2049505,120221,4514320,7766660,2043458,3985644,2778252,8113,1942186,171952,214535,553812,455162,91074,1970173,11657684,176727,3636649,68343,473942,9317,4779714,6279679,992375,231715,302903,85875,2139230,1859,59926,3795,4329635,1151,14974,4609180,8645042,275430,507,708,3288,1634,17139,510352,116734,4793994,11079,2921319,4235786,71422,4315407,15720,55468,1418608,8956,39173,50434,99758,Low
8431196,4355748,9433399,9602481,11372249,13222758,44431908,2944833,4702161,1815249,791768,23397181,1692253,2028811,3451438,11945467,183932,7971962,51251,5859220,18138851,7450784,40647322,25778,6580649,17999066,10632806,7911490,524064,33676315,59980407,22508471,33222700,61095297,6749396,920192,1674076,30128640,30966657,12567276,25473,1794963,51317472,103198,458615,5926298,4282430,12425200,27872597,8706964,2728081,18270116,7155963,9234039,10620687,9786047,1270899,2491713,7378379,1062423,7721533,16740325,5264545,10474992,4919991,11566,5210447,833478,2101712,1512474,913227,638468,2400700,15548499,917186,4465369,166087,3033730,61802,6004302,4475416,3374302,365351,456547,1789119,1051685,17178,155429,15633,2114233,10222,440280,1807662,4248987,519323,4970,6956,10663,7569,98537,684905,45851,7893065,124772,2831342,11263,28773,2134754,20200,70996,1142647,95710,11342,42476,107435,Medium
7583656,2992499,6919494,3167494,6618914,9352938,29397910,2288127,3808994,1158298,683541,9329747,1214644,1338510,2314368,7284706,162466,5085338,29837,5999089,14430921,3608956,28135824,15744,670253,11217853,7863946,5929498,284408,15711427,33031511,13704903,21786998,33406061,7345977,893306,1062927,17378649,16027412,7421600,14093,1098993,18282492,51966,342001,289724,2765913,5405604,11619063,2263713,1248749,8451569,1322850,5281926,5857785,6996527,814585,1432460,5360068,2417232,6417918,9796202,1477808,3039573,1086145,8054,1561765,788957,285394,351546,273022,483609,631136,3633601,665427,1577993,88155,563891,12052,2505698,2289316,1857699,180417,213219,2183566,3657463,4418,342003,8116,246636,2348,4489,1097456,484839,406420,4103,2070,4013,1542,16776,283290,34486,8873472,55793,323796,7618,3814,238203,4848,27954,6141269,4752,2723,108527,15215,High
13997,3491,10023,3435,10394,18489,58057,2165,6642,3099,1059,10804,1501,965,1570,10669,547,3996,795,8956,24530,4977,52553,369,0,21242,11237,6855,651,33877,64010,28023,45720,64473,10467,870,861,31350,33123,7325,426,1321,1788,1861,586,195,1779,13391,18753,2168,3068,15318,0,6331,5289,8934,670,1461,15953,4176,13836,19244,0,0,1534,104,0,245,5,117,264,327,213,5953,842,9027,64,1582,0,5641,7949,4109,271,412,43,6942,342,45,298,30605,184,11,309,61120,83,162,158,136,322,0,2318,115,62268,38,271,7,8,30515,57,84,317,10,2,0,1,Low
5754570,3476419,6886675,11427163,7063671,8578168,42226343,2176998,4267299,1603542,391303,22702119,883603,1780638,3018882,10044644,86179,7810693,56496,3577237,17676841,6074734,42851169,32115,9844439,18498763,10465765,4811219,644626,44264116,68987462,25174328,41052676,72626809,4313282,359303,2089321,35014503,37612306,14338709,24381,2267693,66007121,89277,299795,10476518,2717504,10363593,31574133,3496868,4096655,20146970,12192267,10741324,13453987,13602044,1623067,3011173,5044776,452638,7486768,17814066,5908638,11342320,6821967,16130,5433682,401774,1134605,3202398,959259,212473,4568393,26761119,426457,5947760,97625,1002274,41363,10486391,8872014,2815403,426730,533410,347169,2833019,6164,187638,6490,7597380,3756,567028,7903926,15316784,602493,2761,2408,3729,3989,60975,792556,82862,4774695,58000,8179527,599594,151412,7719404,22797,83883,213282,216052,6916,44947,110669,High
17831786,8463507,16458761,16811003,20351899,22146939,82438831,4639656,10618622,3157137,1209278,43762890,3174031,3352445,6022935,20004164,246243,14104899,132603,14153281,36296706,12799041,81554290,61796,12569373,33569762,19912066,13525610,979618,61782561,105262947,45257584,62946455,112374333,12653950,1495311,3337925,54131277,58243056,21818504,70807,3398481,89703057,317442,511658,8094313,10335795,18242722,49427878,16179312,5141922,32616875,13486140,16484256,17519193,19331240,2418863,4729519,16050569,2164409,15861646,30272010,6767759,13275898,6564667,15240,6508139,1407482,1351069,5035555,1225426,1379351,3112632,22824116,1726271,7264830,286290,3757010,154331,10211270,5664988,5941782,712426,851262,2089655,2913516,72075,389057,53859,5195188,40163,1400349,3478681,10510213,1024657,23999,31912,29860,43658,209382,1185278,407696,12971152,96176,3699744,178965,223247,5315025,24943,113893,1080073,6531200,29763,82609,86630,High
394644,251453,291705,565202,259448,524305,2261896,276109,276496,50932,20342,974163,45707,73514,104783,346635,17046,279713,2115,81420,868618,265308,1908476,1308,574031,609964,409796,240325,8215,1700955,2999318,1039858,1551184,2855794,452865,15423,58926,1417208,1438586,463270,807,46959,1181876,3366,239031,45230,150449,476583,1304610,195600,156297,739408,134077,389432,397837,474799,38744,101416,212127,10974,593970,737266,48863,97328,234183,716,48465,30423,1833,101595,91356,10886,191549,737422,19524,226207,10969,24691,27713,248408,330447,100452,6699,7862,175563,23671,121,80450,379,579143,49,1692,247704,1167422,23510,117,72,262,36,40739,24183,7777,239836,117595,34620,233767,1527,588279,190,973,1179043,7084,3109,28389,76001,Low
286005,94205,231409,481910,213180,472092,2015273,135460,135182,90994,18181,921575,40872,67068,86545,327958,14090,239345,2616,129528,871126,210473,1785005,1595,494675,721467,287754,181191,19487,2040423,2915780,913879,1781270,2966889,338650,8231,55434,1475057,1491832,425544,1021,59531,342078,4176,161080,184572,63768,590822,1185619,211347,181687,703709,198364,383756,553593,441123,40044,85732,167874,12705,403779,632928,9157,17355,232706,503,8198,28837,14167,34109,20488,8079,176065,900507,13553,71766,9578,84063,1792,487099,264044,28858,6599,8115,125335,99302,222,46433,671,1286133,124,627,325119,2555861,32285,302,98,369,164,7880,57736,5784,130399,30771,29283,258271,3045,1269728,286,1230,2213027,9864,468,102076,14143,Low
162403,52054,160756,195965,165969,207463,880491,74113,68119,44252,2565,415030,33650,28510,39848,186155,15324,111989,1193,68882,409646,141254,848175,570,229603,269431,144061,121725,10975,680399,1070571,438529,610501,1097206,203185,3694,19987,541867,555339,217960,623,29666,30136,2108,77098,14550,116166,220893,486705,129807,66082,290740,41787,154697,123347,145538,18691,43631,146084,15808,250675,272113,807,1218,103156,175,411,16072,1961,21863,7852,5605,49039,190080,17044,9425,1026,70292,583,123782,71675,30575,1959,2141,67604,6059,224,14706,343,519821,132,376,55108,1036115,6232,119,92,224,175,1266,13340,633,14832,4027,3778,808,286,516294,19,163,956331,93411,109,40707,17040,Low
190484,89079,212226,426765,329843,350620,1415401,99930,103214,74332,7957,741179,35732,48950,62660,326405,10689,175556,2417,117149,618477,194245,1342434,1530,537702,534424,211983,151670,22414,1289918,1910295,723957,1004380,1978502,306068,5328,12981,953853,1024649,366130,887,59924,173054,3763,82169,66116,79824,391795,974122,188593,144163,547357,62962,310781,360385,295232,37510,63946,174039,12653,406074,475130,0,0,169448,439,0,31132,17919,120401,22838,6935,113368,494894,13272,31453,2316,85389,1208,226798,232943,25274,1605,1871,110689,76398,242,40028,521,844946,125,2655,70122,1710973,7232,129,117,392,146,4475,20322,1471,48963,41059,26603,3214,1890,866027,40,226,1739651,6759,341,22471,7950,Low
2582915,2346885,3031775,825023,3042184,5332324,13561098,1115077,2134748,404963,224262,5307329,972948,428403,803065,3310809,120728,1912610,32256,2620082,5542911,2279781,12737767,15129,33398,4605555,2343806,2939423,123106,9665080,15543396,7194856,11200892,16787941,2990741,171323,473852,7800615,8987326,3284487,17127,375476,13712100,64359,162601,109349,3003996,2459701,5587049,2716793,853773,4762026,39475,2321368,124422,2279303,252370,681142,4481133,580671,2691147,4762353,1488800,2812309,514341,5202,1323509,692279,279589,135197,181852,588951,206115,1982298,766847,1022199,13606,941459,68424,1121440,279720,1298383,115262,140355,59339,626,9441,31092,10539,0,5103,166231,298354,0,93457,5238,4338,5301,6921,69640,198679,16702,2158684,41132,457977,2197,570581,0,4333,20760,146093,18449,1866,298,443,Low
4093205,1689899,3846884,5638934,1901958,5914527,28311055,1100306,1829576,1225828,430264,10707543,491066,1627180,2298346,4155886,75069,5773968,24663,2161677,11652914,3441856,26742595,15919,4103989,12759133,7315980,2581277,403387,23359384,42016241,15089681,24432629,41974218,2129296,176200,992512,20762082,21212136,7836340,8744,1553195,39300341,49831,503516,7399391,949203,8066601,17541589,1337028,2020043,11902655,6739993,7252802,10554975,8728383,1149808,1848442,2204158,228828,6700024,11179683,3617808,7188463,4081087,12551,3570655,172660,1929000,542210,783080,135393,3418321,13705186,203125,5894822,76919,645697,30567,5501486,6834046,1401091,153099,189943,337593,1670951,2584,150103,8682,4863024,1597,9420,7759127,9590756,804821,3916,987,4766,1351,81285,313879,119171,911670,86294,5933204,478317,21991,4727732,7591,29253,1161708,13852,193713,175596,166557,Low
198755,161376,243629,112037,251494,356586,957310,79970,107261,40757,24537,399689,40958,54802,99375,294205,838,209589,15335,233153,459931,188881,957309,7324,12099,387999,231468,246521,11229,627771,1154804,497378,802985,1247953,206221,15439,29220,635442,612511,268875,8011,44345,1089409,34971,917,81781,212517,177650,444968,287026,41249,332931,68391,226251,122914,195610,33116,55412,265085,39309,200672,387613,95512,196325,64688,1937,100813,16879,4163,40544,7892,18086,3435,197494,31804,155259,2122,93807,638,87059,45279,140352,4254,5048,2318,5336,5391,930,7629,0,3417,1400,49782,0,4778,2854,1974,4775,4679,859,6093,1101,75556,10,7646,168,297,0,167,627,78550,451,45,56,13,Low
